mes_ano,notificacoes,censitario,quarteirao
202306,1,354980505000001P,4473
202306,1,354980505000013P,4492
202306,1,354980505000016P,4096
202306,1,354980505000019P,4595
202306,1,354980505000023P,4404
202306,1,354980505000023P,4509
202306,1,354980505000032P,4015
202306,1,354980505000034P,4106
202306,1,354980505000051P,4998
202306,1,354980505000052P,5008
202306,1,354980505000054P,4107
202306,1,354980505000058P,3606
202306,1,354980505000058P,3648
202306,1,354980505000059P,3082
202306,1,354980505000067P,5405
202306,1,354980505000068P,5380
202306,1,354980505000068P,5395
202306,1,354980505000068P,5412
202306,1,354980505000073P,4480
202306,1,354980505000075P,5073
202306,1,354980505000090P,5249
202306,1,354980505000095P,4956
202306,1,354980505000095P,4978
202306,1,354980505000095P,5437
202306,1,354980505000102P,4164
202306,1,354980505000102P,4169
202306,1,354980505000105P,3598
202306,1,354980505000110P,3108
202306,1,354980505000113P,4333
202306,1,354980505000113P,4344
202306,1,354980505000114P,4307
202306,1,354980505000114P,4322
202306,1,354980505000115P,4314
202306,1,354980505000115P,4320
202306,1,354980505000122P,6124
202306,2,354980505000122P,6135
202306,1,354980505000124P,6101
202306,1,354980505000124P,6102
202306,1,354980505000132P,4399
202306,1,354980505000135P,5720
202306,1,354980505000138P,5624
202306,1,354980505000138P,5683
202306,1,354980505000138P,5684
202306,1,354980505000140P,6223
202306,2,354980505000142P,6231
202306,2,354980505000145P,5734
202306,1,354980505000148P,5660
202306,1,354980505000151P,6268
202306,1,354980505000152P,6236
202306,1,354980505000152P,6270
202306,1,354980505000159P,5581
202306,1,354980505000174P,6215
202306,2,354980505000175P,6178
202306,1,354980505000178P,6212
202306,1,354980505000179P,6383
202306,1,354980505000184P,6354
202306,1,354980505000187P,10407
202306,1,354980505000197P,6011
202306,1,354980505000201P,5926
202306,1,354980505000204P,5797
202306,1,354980505000209P,1202
202306,1,354980505000210P,1265
202306,1,354980505000214P,1150
202306,1,354980505000214P,1218
202306,1,354980505000217P,1255
202306,1,354980505000217P,1287
202306,1,354980505000218P,1231
202306,1,354980505000221P,2590
202306,1,354980505000226P,1294
202306,2,354980505000226P,1296
202306,1,354980505000226P,1298
202306,1,354980505000228P,2270
202306,1,354980505000232P,2359
202306,1,354980505000235P,2625
202306,2,354980505000238P,3292
202306,1,354980505000247P,2314
202306,1,354980505000258P,2127
202306,1,354980505000263P,1643
202306,1,354980505000267P,2304
202306,1,354980505000276P,3302
202306,1,354980505000277P,2217
202306,1,354980505000281P,2047
202306,1,354980505000283P,2109
202306,1,354980505000283P,2122
202306,1,354980505000284P,1679
202306,1,354980505000284P,1685
202306,1,354980505000285P,1638
202306,1,354980505000286P,1748
202306,1,354980505000290P,1008
202306,2,354980505000300P,3429
202306,1,354980505000302P,3470
202306,2,354980505000306P,2076
202306,1,354980505000309P,2066
202306,1,354980505000313P,2009
202306,1,354980505000330P,860
202306,1,354980505000334P,1312
202306,1,354980505000337P,2494
202306,1,354980505000338P,2449
202306,1,354980505000339P,1067
202306,1,354980505000339P,2464
202306,1,354980505000341P,1060
202306,1,354980505000344P,1360
202306,1,354980505000344P,2390
202306,1,354980505000348P,1377
202306,1,354980505000351P,2939
202306,1,354980505000351P,3000
202306,1,354980505000352P,3575
202306,1,354980505000357P,2526
202306,1,354980505000357P,2527
202306,1,354980505000359P,2424
202306,1,354980505000360P,2488
202306,1,354980505000363P,1483
202306,1,354980505000364P,1405
202306,1,354980505000364P,1582
202306,1,354980505000372P,1427
202306,1,354980505000372P,1547
202306,1,354980505000375P,3210
202306,1,354980505000375P,3211
202306,1,354980505000378P,3163
202306,1,354980505000379P,3158
202306,1,354980505000379P,3168
202306,1,354980505000383P,3585
202306,1,354980505000391P,3484
202306,1,354980505000409P,3506
202306,1,354980505000414P,3760
202306,1,354980505000414P,3764
202306,1,354980505000423P,1015
202306,1,354980505000425P,4369
202306,1,354980505000426P,5670
202306,1,354980505000428P,5669
202306,1,354980505000441P,2236
202306,1,354980505000459P,1455
202306,1,354980505000459P,1459
202306,1,354980505000459P,1511
202306,1,354980505000462P,3578
202306,1,354980505000476P,5
202306,2,354980505000476P,19
202306,1,354980505000482P,4750
202306,1,354980505000506P,6127
202306,1,354980505000506P,6128
202306,3,354980505000511P,9339
202306,1,354980505000513P,6537
202306,1,354980505000516P,7127
202306,1,354980505000523P,3512
202306,1,354980505000524P,2731
202306,2,354980505000524P,8361
202306,1,354980505000526P,2849
202306,1,354980505000532P,2205
202306,1,354980505000535P,772
202306,1,354980505000536P,790
202306,3,354980505000537P,9814
202306,1,354980505000561P,7173
202306,1,354980505000565P,393
202306,1,354980505000565P,398
202306,1,354980505000577P,9869
202306,1,354980505000580P,4421
202306,1,354980505000581P,4406
202306,1,354980505000581P,4462
202306,1,354980505000595P,4432
202306,1,354980505000597P,4059
202306,1,354980505000599P,5298
202306,1,354980505000600P,5344
202306,1,354980505000601P,5287
202306,1,354980505000602P,4693
202306,1,354980505000605P,10260
202306,2,354980505000610P,5203
202306,1,354980505000611P,5310
202306,1,354980505000617P,3860
202306,1,354980505000618P,3866
202306,1,354980505000621P,4256
202306,1,354980505000621P,4258
202306,1,354980505000622P,4262
202306,1,354980505000623P,3944
202306,1,354980505000625P,3605
202306,1,354980505000625P,4129
202306,1,354980505000627P,1120
202306,1,354980505000628P,2433
202306,2,354980505000629P,1075
202306,1,354980505000630P,2403
202306,1,354980505000633P,1561
202306,1,354980505000634P,1400
202306,1,354980505000635P,1556
202306,1,354980505000636P,1461
202306,1,354980505000636P,1583
202306,1,354980505000641P,1388
202306,1,354980505000642P,1575
202306,2,354980505000643P,1429
202306,1,354980505000644P,1592
202306,1,354980505000645P,1597
202306,1,354980505000646P,1386
202306,1,354980505000647P,3570
202306,1,354980505000648P,3582
202306,3,354980505000649P,3594
202306,1,354980505000655P,1402
202306,1,354980505000655P,1574
202306,1,354980505000659P,9257
202306,1,354980505000664P,1498
202306,1,354980505000665P,1435
202306,3,354980505000665P,1529
202306,1,354980505000666P,1416
202306,1,354980505000666P,1490
202306,1,354980505000666P,5417
202306,1,354980505000670P,3778
202306,1,354980505000674P,3821
202306,1,354980505000681P,1355
202306,1,354980505000683P,4371
202306,1,354980505000683P,4380
202306,1,354980505000686P,5466
202306,1,354980505000686P,5532
202306,1,354980505000688P,6112
202306,2,354980505000690P,5536
202306,1,354980505000691P,5456
202306,1,354980505000695P,5728
202306,1,354980505000696P,5591
202306,1,354980505000702P,5588
202306,1,354980505000706P,5661
202306,1,354980505000708P,6256
202306,1,354980505000710P,6360
202306,1,354980505000712P,6329
202306,1,354980505000715P,6217
202306,1,354980505000723P,5742
202306,1,354980505000729P,5888
202306,1,354980505000731P,5547
202306,1,354980505000731P,6088
202306,2,354980505000733P,6186
202306,1,354980505000736P,6310
202306,1,354980505000736P,6349
202306,2,354980505000744P,6528
202306,1,354980505000746P,6417
202306,1,354980505000746P,6472
202306,1,354980505000747P,6418
202306,1,354980505000747P,6426
202306,1,354980505000748P,6449
202306,1,354980505000748P,6484
202306,1,354980505000749P,6468
202306,4,354980505000751P,6034
202306,1,354980505000751P,6502
202306,1,354980505000752P,7520
202306,1,354980505000757P,6277
202306,3,354980505000764P,5942
202306,1,354980505000766P,5803
202306,1,354980505000768P,5824
202306,2,354980505000775P,10296
202306,1,354980505000776P,4872
202306,1,354980505000776P,4904
202306,5,354980505000777P,4906
202306,1,354980505000780P,6283
202306,2,354980505000782P,6355
202306,1,354980505000787P,10409
202306,2,354980505000789P,6412
202306,2,354980505000790P,6043
202306,1,354980505000792P,6036
202306,2,354980505000793P,5139
202306,1,354980505000795P,4785
202306,1,354980505000795P,4797
202306,1,354980505000796P,4780
202306,5,354980505000807P,9313
202306,3,354980505000813P,4300
202306,1,354980505000817P,10267
202306,1,354980505000819P,10266
202306,1,354980505000820P,6301
202306,1,354980505000822P,5963
202306,1,354980505000823P,5964
202306,1,354980505000826P,2334
202306,1,354980505000827P,2243
202306,1,354980505000827P,2280
202306,1,354980505000828P,1980
202306,1,354980505000828P,1996
202306,1,354980505000829P,1139
202306,1,354980505000836P,2303
202306,2,354980505000840P,3395
202306,1,354980505000841P,3372
202306,1,354980505000843P,3387
202306,1,354980505000843P,3390
202306,1,354980505000845P,2115
202306,1,354980505000846P,1989
202306,1,354980505000848P,2102
202306,1,354980505000856P,1002
202306,1,354980505000861P,854
202306,1,354980505000862P,826
202306,1,354980505000862P,851
202306,1,354980505000864P,1764
202306,1,354980505000865P,1784
202306,1,354980505000873P,7767
202306,2,354980505000874P,7791
202306,1,354980505000878P,3533
202306,1,354980505000878P,3536
202306,1,354980505000881P,758
202306,1,354980505000881P,1670
202306,1,354980505000882P,1674
202306,2,354980505000883P,1659
202306,1,354980505000886P,815
202306,1,354980505000890P,989
202306,1,354980505000892P,952
202306,2,354980505000893P,980
202306,1,354980505000897P,973
202306,1,354980505000898P,965
202306,1,354980505000908P,326
202306,1,354980505000909P,676
202306,1,354980505000911P,3315
202306,1,354980505000914P,431
202306,1,354980505000914P,432
202306,1,354980505000915P,437
202306,1,354980505000916P,799
202306,1,354980505000919P,1735
202306,1,354980505000919P,1738
202306,1,354980505000926P,2008
202306,1,354980505000926P,2130
202306,1,354980505000929P,2368
202306,2,354980505000930P,9345
202306,1,354980505000937P,8120
202306,1,354980505000940P,8198
202306,1,354980505000944P,138
202306,1,354980505000946P,65
202306,1,354980505000950P,96
202306,1,354980505000950P,98
202306,1,354980505000950P,104
202306,1,354980505000951P,108
202306,1,354980505000951P,111
202306,1,354980505000954P,8541
202306,1,354980505000957P,9371
202306,1,354980505000960P,9182
202306,2,354980505000966P,8689
202306,1,354980505000968P,8683
202306,1,354980505000970P,9021
202306,1,354980505000970P,9023
202306,1,354980505000971P,9321
202306,1,354980505000973P,252
202306,1,354980505000974P,9087
202306,1,354980505000974P,9094
202306,3,354980505000976P,8042
202306,1,354980505000977P,8048
202306,1,354980505000979P,8073
202306,1,354980505000983P,8013
202306,2,354980505000984P,8007
202306,2,354980505000987P,9294
202306,2,354980505000987P,10428
202306,1,354980505000991P,10827
202306,2,354980505000999P,8438
202306,4,354980505001001P,8439
202306,1,354980505001003P,10430
202306,1,354980505001010P,8298
202306,1,354980505001011P,9334
202306,1,354980505001012P,7642
202306,1,354980505001012P,7649
202306,1,354980505001012P,9072
202306,1,354980505001013P,9341
202306,17,354980505001017P,9316
202306,2,354980505001018P,1894
202306,1,354980505001024P,3143
202306,2,354980505001027P,730
202306,2,354980505001029P,1925
202306,4,354980505001031P,7359
202306,2,354980505001036P,7358
202306,1,354980505001037P,1872
202306,1,354980505001041P,1853
202306,4,354980505001043P,1821
202306,1,354980505001051P,554
202306,1,354980505001052P,7892
202306,1,354980505001053P,7864
202306,1,354980505001053P,7869
202306,1,354980505001055P,10277
202306,1,354980505001057P,1047
202306,3,354980505001058P,10276
202306,1,354980505001060P,186
202306,1,354980505001070P,4843
202306,1,354980505001072P,10309
202306,1,354980505001074P,4921
202306,1,354980505001075P,6566
202306,1,354980505001080P,4910
202306,1,354980505001083P,5502
202306,1,354980505001083P,5511
202306,1,354980505001086P,4563
202306,1,354980505001099P,4011
202306,1,354980505001104P,4412
202306,1,354980505001105P,4451
202306,1,354980505001109P,2923
202306,1,354980505001113P,5496
202306,1,354980505001115P,4284
202306,1,354980505001118P,2582
202306,1,354980505001124P,2750
202306,1,354980505001126P,2010
202306,1,354980505001127P,2040
202306,1,354980505001127P,2042
202306,2,354980505001129P,3152
202306,1,354980505001135P,2336
202306,2,354980505001139P,1017
202306,1,354980505001139P,1033
202306,1,354980505001142P,2206
202306,1,354980505001143P,10246
202306,1,354980505001147P,6295
202306,1,354980505001147P,6353
202306,1,354980505001149P,5662
202306,1,354980505001152P,5854
202306,1,354980505001153P,5903
202306,1,354980505001154P,4791
202306,1,354980505001154P,4808
202306,2,354980505001158P,5732
202306,1,354980505001161P,9343
202306,1,354980505001162P,9003
202306,2,354980505001162P,9346
202306,1,354980505001163P,9351
202306,1,354980505001176P,3916
202306,3,354980505001179P,2463
202306,1,354980505001182P,1419
202306,1,354980505001194P,9248
202306,3,354980505001203P,4264
202306,1,354980505001204P,3678
202306,1,354980505001206P,929
202306,1,354980505001207P,915
202306,1,354980505001207P,916
202306,1,354980505001213P,875
202306,1,354980505001215P,3241
202306,2,354980505001220P,4753
202306,1,354980505001221P,8478
202306,1,354980505001222P,7466
202306,2,354980505001228P,6214
202306,1,354980505001229P,6475
202306,1,354980505001229P,6574
202306,1,354980505001230P,6544
202306,1,354980505001236P,6549
202306,1,354980505001238P,6550
202306,1,354980505001239P,5535
202306,1,354980505001242P,5633
202306,3,354980505001244P,4811
202306,1,354980505001249P,4458
202306,1,354980505001251P,5743
202306,1,354980505001251P,5744
202306,1,354980505001252P,5646
202306,1,354980505001252P,5741
202306,1,354980505001259P,9165
202306,1,354980505001260P,9161
202306,2,354980505001265P,10249
202306,1,354980505001267P,9318
202306,2,354980505001267P,9330
202306,1,354980505001267P,10433
202306,1,354980510000007P,6683
202306,1,354980510000021P,7243
202306,1,354980510000029P,8974
202306,1,354980510000037P,6611
202306,1,354980510000040P,7218
202306,2,354980510000040P,7227
202306,1,354980510000040P,7228
202306,1,354980510000041P,6691
202306,1,354980510000042P,6654
202306,1,354980510000045P,6585
202306,1,354980510000048P,6834
202306,1,354980510000048P,6835
202306,1,354980510000050P,6829
202306,1,354980510000056P,8747
202306,1,354980510000056P,8749
202306,1,354980510000060P,9489
202306,1,354980510000060P,9490
202306,2,354980510000062P,9470
202306,1,354980510000067P,6722
202306,1,354980510000069P,9309
202306,1,354980510000076P,10845
202306,1,354980510000078P,8996
202306,3,354980510000079P,9312
202306,1,354980510000080P,8883
202306,1,354980510000084P,6640
202306,1,354980510000085P,6750
202306,1,354980510000085P,7718
202306,1,354980510000085P,7726
202306,2,354980510000091P,7807
202306,1,354980510000093P,7683
202306,1,354980510000094P,6939
202306,5,354980510000101P,9308
202306,1,354980520000005P,642
202306,1,354980520000013P,647
202306,1,354980520000013P,7435
202306,1,354980520000019P,571
202306,1,354980520000019P,572
202306,1,354980520000023P,610
202306,1,354980520000028P,9320
202306,1,354980520000031P,585
